,¼±¼ö,G,Å¸¼®,Å¸¼ö,µæÁ¡,¾ÈÅ¸,2Å¸,3Å¸,È¨·±,·çÅ¸,Å¸Á¡,µµ·ç,µµ½Ç,º¼³Ý,»ç±¸,°í4,»ïÁø,º´»ì,ÈñÅ¸,Èñºñ,Å¸À²,Ãâ·ç,ÀåÅ¸,OPS,wOBA,wRC+,WAR+,WPA
1288,ÀÌÀç¿ø20LRF,15,19,17,1,1,0,0,0,1,0,0,0,2,0,0,9,0,0,0,.059,.158,.059,.217,.127,-42.2,-0.29,-0.17
1289,±èÈÖÁý21Å°3B,27,84,65,9,9,1,0,1,13,8,1,0,13,2,0,22,0,3,1,.138,.296,.200,.496,.253,41.5,-0.29,-0.46
1290,±èÁø°ï18KRF,19,23,21,4,3,1,0,0,4,0,0,2,2,0,0,3,0,0,0,.143,.217,.190,.408,.197,-2.0,-0.29,-0.19
1291,°­»ó¿ø21ÇÑCF,25,38,31,3,3,0,0,0,3,2,3,0,5,1,0,8,0,1,0,.097,.243,.097,.340,.193,0.6,-0.29,-0.18
1292,Àå¿µ¼®20K3B,11,37,31,1,4,0,0,0,4,2,0,0,4,1,0,7,3,0,1,.129,.243,.129,.372,.202,5.3,-0.29,-0.58
1293,ÀÌÃ¢Áø18KKLF,20,30,29,5,5,1,0,0,6,0,0,1,0,1,0,3,2,0,0,.172,.200,.207,.407,.189,-6.6,-0.30,-0.37
1294,¾ç¿ìÇö20»ï2B,7,24,23,0,3,0,0,0,3,0,0,0,1,0,0,5,1,0,0,.130,.167,.130,.297,.148,-28.1,-0.30,-0.33
1295,¿ÀÀç¿ø19µÎ2B,98,204,177,30,29,8,1,3,48,18,6,2,25,0,0,50,3,2,0,.164,.267,.271,.539,.257,51.4,-0.30,-1.55
1296,°íÁ¾¿í18³ØLF,102,351,330,47,92,22,0,6,132,54,17,4,15,1,1,96,2,1,4,.279,.309,.400,.709,.309,74.1,-0.30,1.03
1297,ÀÌ¼º°ï19»ïRF,13,28,28,1,5,3,0,0,8,0,0,0,0,0,0,6,0,0,0,.179,.179,.286,.464,.209,13.3,-0.30,-0.12
1298,Á¶µ¿Âù18»ï1B,28,59,54,5,12,1,0,1,16,2,0,0,4,0,0,14,2,1,0,.222,.276,.296,.572,.258,40.1,-0.30,-0.57
1299,ÀÌ¼º¿­21ÇÑDH,46,140,119,15,25,8,0,2,39,20,1,0,18,1,0,36,2,0,2,.210,.314,.328,.642,.308,77.2,-0.31,0.32
1300,±èÁÖ¿ø21NSS,30,82,72,6,11,3,0,1,17,7,4,2,7,1,0,29,2,0,2,.153,.232,.236,.468,.227,22.6,-0.31,-0.91
1301,À±ÁøÈ£18L2B,102,61,53,13,11,3,0,0,14,4,0,1,2,2,0,14,2,4,0,.208,.263,.264,.527,.230,22.0,-0.31,-0.81
1302,¹Ú½Â±Ô20»ïRF,90,192,179,24,47,11,0,1,61,13,4,5,6,3,0,32,4,4,0,.263,.298,.341,.639,.291,64.5,-0.31,-0.51
