,¼±¼ö,G,Å¸¼®,Å¸¼ö,µæÁ¡,¾ÈÅ¸,2Å¸,3Å¸,È¨·±,·çÅ¸,Å¸Á¡,µµ·ç,µµ½Ç,º¼³Ý,»ç±¸,°í4,»ïÁø,º´»ì,ÈñÅ¸,Èñºñ,Å¸À²,Ãâ·ç,ÀåÅ¸,OPS,wOBA,wRC+,WAR+,WPA
1385,¿ÀÀ±¼®19·Ô1B,76,228,198,21,44,2,0,1,49,21,0,0,20,2,1,43,4,4,4,.222,.295,.247,.542,.258,49.6,-0.67,-0.56
1386,À±¼®¹Î19K1B,63,178,169,4,39,4,0,2,49,17,0,0,7,0,0,24,4,0,2,.231,.258,.290,.548,.256,47.6,-0.67,-1.35
1387,¹Îº´Çå20·ÔCF,109,342,309,42,72,12,0,2,90,23,10,6,21,5,1,62,12,5,2,.233,.291,.291,.582,.271,50.8,-0.68,-2.24
1388,¼ÕÁÖÀÎ18»ï2B,98,297,265,26,63,10,0,4,85,28,3,0,11,7,0,40,11,10,4,.238,.282,.321,.603,.263,43.4,-0.70,-1.49
1389,È²À±È£18KSS,82,62,57,11,9,1,0,0,10,4,2,2,0,3,0,6,2,2,0,.158,.200,.175,.375,.175,-14.3,-0.70,0.02
1390,Á¤ÀÇÀ±20SDH,74,198,183,13,45,5,1,1,55,20,0,1,11,1,1,38,7,0,3,.246,.288,.301,.588,.274,53.8,-0.70,-0.81
1391,¾ÈÀÍÈÆ18LCF,62,135,123,13,27,4,0,0,31,10,0,1,8,1,0,12,4,2,1,.220,.271,.252,.523,.242,29.6,-0.70,0.09
1392,ÀÌÁ¾¿í18NLF,43,128,122,12,28,7,0,1,38,8,1,1,4,0,0,16,2,1,1,.230,.252,.311,.563,.249,35.1,-0.71,-0.21
1393,À±ÁøÈ£19L3B,105,62,59,6,6,2,0,1,11,5,1,1,1,0,0,13,0,2,0,.102,.117,.186,.303,.133,-33.5,-0.71,-0.88
1394,±èµ¿¿±21»ïDH,41,118,103,12,19,4,0,1,26,12,1,1,8,3,0,28,1,0,4,.184,.254,.252,.507,.245,34.0,-0.72,-0.94
1395,ÆÄ·¹µð½º18µÎRF,21,71,65,7,9,2,1,1,16,4,1,0,4,1,1,17,0,0,1,.138,.197,.246,.443,.191,-2.4,-0.73,-0.65
1396,ÀÌ»óÈ£18N2B,114,204,187,32,47,2,0,0,49,8,13,5,8,2,0,15,8,7,0,.251,.289,.262,.551,.251,37.3,-0.73,-1.23
1397,À¯ÀåÇõ21ÇÑCF,34,112,98,11,14,5,0,1,22,7,2,1,8,2,0,39,2,2,2,.143,.218,.224,.443,.212,13.6,-0.75,-1.14
1398,¾ç¼º¿ì19ÇÑLF,56,129,119,11,20,3,0,1,26,6,1,0,9,0,0,28,2,1,0,.168,.227,.218,.445,.214,20.6,-0.77,-1.12
1399,Àüº´¿ì19·Ô1B,28,54,50,2,5,1,0,0,6,0,0,0,3,0,0,22,0,1,0,.100,.151,.120,.271,.134,-35.3,-0.79,-1.22
1400,¹Ú±âÇõ18KSS,98,196,173,17,37,6,0,1,46,15,1,0,13,2,0,50,8,5,3,.214,.272,.266,.538,.244,28.9,-0.80,-1.86
1401,³ë½ÃÈ¯19ÇÑ1B,91,192,177,19,33,8,1,1,46,13,2,2,11,2,0,72,3,1,1,.186,.241,.260,.501,.237,36.4,-0.80,-1.52
1402,ÃÖÀÎÈ£20ÇÑLF,46,132,124,8,28,0,0,0,28,6,0,0,4,1,0,33,3,1,2,.226,.252,.226,.478,.228,26.3,-0.81,-1.23
1403,ÀÓÁ¾Âù21ÇÑRF,31,115,104,6,16,5,0,1,24,8,0,1,9,1,0,41,1,1,0,.154,.228,.231,.459,.223,20.9,-0.81,-0.64
1404,¹Ú°è¹ü20»ïSS,79,171,160,21,32,7,0,3,48,16,3,2,7,0,0,40,3,3,1,.200,.232,.300,.532,.238,29.0,-0.82,-0.86
1405,±èµ¿¿±19»ïDH,60,211,195,15,42,4,1,6,66,25,2,1,12,2,0,47,2,0,2,.215,.265,.338,.604,.279,60.7,-0.85,0.08
1406,±è¿ëÀÇ18L1B,114,185,159,28,37,2,0,0,39,13,10,1,16,0,1,32,1,7,3,.233,.298,.245,.543,.248,33.0,-0.85,-0.84
1407,ÀÌ¼º¿­20ÇÑDH,78,244,223,22,45,5,0,8,74,34,1,1,16,5,0,68,3,0,0,.202,.271,.332,.602,.278,58.0,-0.90,-1.13
1408,ÀÌ¼º±Ô20»ï1B,98,245,216,25,39,7,1,10,78,30,3,1,18,5,0,64,7,4,2,.181,.257,.361,.618,.274,50.1,-0.92,-1.73
1409,±è±Ô¼º20K2B,103,182,157,21,28,2,1,3,41,11,2,1,13,1,0,40,1,11,0,.178,.246,.261,.507,.226,21.0,-1.01,-1.85
1410,±èÅÂÁø20NK3B,81,275,258,27,60,5,1,1,70,23,7,4,13,1,0,45,2,2,1,.233,.271,.271,.542,.255,40.4,-1.07,-0.60
1411,¹ÚÂùÈ£20KSS,141,530,479,63,106,16,0,3,131,36,15,8,36,0,0,87,14,12,3,.221,.274,.273,.548,.254,39.9,-1.15,-1.96
1412,Á¤º¸±Ù20·ÔC,85,152,133,9,20,2,0,0,22,5,0,0,11,1,0,32,7,6,1,.150,.219,.165,.385,.187,-3.9,-1.18,-1.76
1413,³ªÁ¾´ö19·ÔC,104,209,185,12,23,4,0,3,36,13,0,0,9,6,0,88,5,7,2,.124,.188,.195,.383,.180,-4.2,-1.41,-2.74
1414,³ªÁ¾´ö18·ÔC,106,203,177,15,22,3,0,2,31,11,0,0,12,5,0,85,2,9,0,.124,.201,.175,.376,.175,-15.1,-1.71,-1.85
